10_002_C_snippet
 risk of interval [0,4]: 0.015125620178878307
 risk of interval [10,14]: 0.8916400671005249
 risk of interval [15,19]: 0.9683302640914917
 risk of interval [20,24]: 0.9562942981719971
 risk of interval [25,29]: 0.9441302418708801
 risk of interval [30,34]: 0.4040704071521759
 risk of interval [35,39]: 0.8742086887359619
 risk of interval [40,44]: 0.5727747082710266
 risk of interval [45,49]: 0.8253464102745056
 risk of interval [50,54]: 0.8772470355033875
 risk of interval [55,59]: 0.7547924518585205
 risk of interval [60,64]: 0.7406185269355774
 risk of interval [65,69]: 0.8267583250999451
 risk of interval [70,74]: 0.7255471348762512
13_005_P_snippet
 risk of interval [0,4]: 0.666607677936554
 risk of interval [5,9]: 0.4344336688518524
 risk of interval [10,14]: 0.7678098082542419
 risk of interval [15,19]: 0.8683739304542542
 risk of interval [20,24]: 0.855618417263031
 risk of interval [25,29]: 0.9869668483734131
 risk of interval [30,34]: 0.9841899275779724
 risk of interval [35,39]: 0.9884787797927856
 risk of interval [40,44]: 0.8752797245979309
 risk of interval [45,49]: 0.9789194464683533
 risk of interval [50,54]: 0.9923685789108276
 risk of interval [55,59]: 0.8606672883033752
 risk of interval [60,64]: 0.7775237560272217
 risk of interval [65,69]: 0.934281587600708
 risk of interval [70,74]: 0.36347004771232605
13_007_P_snippet
 risk of interval [0,4]: 0.28285354375839233
 risk of interval [5,9]: 0.035247836261987686
 risk of interval [10,14]: 0.822251558303833
 risk of interval [15,19]: 0.8241754770278931
 risk of interval [20,24]: 0.9505914449691772
 risk of interval [25,29]: 0.977684736251831
 risk of interval [30,34]: 0.6673527956008911
 risk of interval [35,39]: 0.4406484365463257
 risk of interval [40,44]: 0.6562046408653259
 risk of interval [45,49]: 0.9190624356269836
 risk of interval [50,54]: 0.6166885495185852
 risk of interval [55,59]: 0.6941507458686829
 risk of interval [60,64]: 0.6900224685668945
 risk of interval [65,69]: 0.6590400338172913
 risk of interval [70,74]: 0.7720516920089722
13_009_P_snippet
 risk of interval [0,4]: 0.01646212860941887
 risk of interval [5,9]: 0.036475636065006256
 risk of interval [10,14]: 0.9246320128440857
 risk of interval [15,19]: 0.9829292297363281
 risk of interval [20,24]: 0.869858980178833
 risk of interval [25,29]: 0.4864266812801361
 risk of interval [30,34]: 0.08975941687822342
 risk of interval [35,39]: 0.2530844807624817
 risk of interval [40,44]: 0.11141558736562729
 risk of interval [45,49]: 0.09159103035926819
 risk of interval [50,54]: 0.13436152040958405
 risk of interval [55,59]: 0.12394046783447266
 risk of interval [60,64]: 0.14047543704509735
 risk of interval [65,69]: 0.12508857250213623
 risk of interval [70,74]: 0.41304832696914673
13_010_A_snippet
 risk of interval [0,4]: 0.9249197244644165
 risk of interval [5,9]: 0.9080073833465576
 risk of interval [10,14]: 0.6470984220504761
 risk of interval [15,19]: 0.6384871602058411
 risk of interval [20,24]: 0.23106007277965546
 risk of interval [25,29]: 0.8223817348480225
 risk of interval [30,34]: 0.8759534955024719
 risk of interval [35,39]: 0.3098296523094177
 risk of interval [40,44]: 0.8511250019073486
 risk of interval [45,49]: 0.9020324349403381
 risk of interval [50,54]: 0.7948671579360962
 risk of interval [55,59]: 0.6694656014442444
 risk of interval [60,64]: 0.8275648355484009
 risk of interval [65,69]: 0.7608435153961182
 risk of interval [70,74]: 0.6516159176826477
13_012_A_snippet
 risk of interval [0,4]: 0.13575290143489838
 risk of interval [5,9]: 0.8080045580863953
 risk of interval [10,14]: 0.15368102490901947
 risk of interval [15,19]: 0.5560829639434814
 risk of interval [20,24]: 0.13442549109458923
 risk of interval [25,29]: 0.8530336022377014
 risk of interval [30,34]: 0.6949055194854736
 risk of interval [35,39]: 0.7810370922088623
 risk of interval [40,44]: 0.7939683198928833
 risk of interval [45,49]: 0.4960908889770508
 risk of interval [50,54]: 0.6769500970840454
 risk of interval [55,59]: 0.8819704651832581
 risk of interval [60,64]: 0.6611949801445007
 risk of interval [65,69]: 0.7139115929603577
 risk of interval [70,74]: 0.49776536226272583
13_014_P_snippet
 risk of interval [0,4]: 0.8165173530578613
 risk of interval [5,9]: 0.9643044471740723
 risk of interval [10,14]: 0.7736830115318298
 risk of interval [15,19]: 0.8780844807624817
 risk of interval [20,24]: 0.9862740635871887
 risk of interval [25,29]: 0.9934471845626831
 risk of interval [30,34]: 0.9876896142959595
 risk of interval [35,39]: 0.989634096622467
 risk of interval [40,44]: 0.9896078705787659
 risk of interval [45,49]: 0.990975022315979
 risk of interval [50,54]: 0.9910386204719543
 risk of interval [55,59]: 0.9921672344207764
 risk of interval [60,64]: 0.9906128644943237
 risk of interval [65,69]: 0.9893760681152344
 risk of interval [70,74]: 0.9832460284233093
13_015_P_snippet
 risk of interval [0,4]: 0.6884639859199524
 risk of interval [5,9]: 0.9491140246391296
 risk of interval [10,14]: 0.9877827763557434
 risk of interval [15,19]: 0.9845426678657532
 risk of interval [20,24]: 0.9908361434936523
 risk of interval [25,29]: 0.9285172820091248
 risk of interval [30,34]: 0.9914876222610474
 risk of interval [35,39]: 0.408186674118042
 risk of interval [40,44]: 0.33215707540512085
 risk of interval [45,49]: 0.9037400484085083
 risk of interval [50,54]: 0.948762834072113
 risk of interval [55,59]: 0.9344959259033203
 risk of interval [60,64]: 0.9246529936790466
 risk of interval [65,69]: 0.293007493019104
 risk of interval [70,74]: 0.9074862599372864
13_016_P_snippet
 risk of interval [0,4]: 0.055263593792915344
 risk of interval [5,9]: 0.5260820984840393
 risk of interval [10,14]: 0.6354202628135681
 risk of interval [15,19]: 0.9669522643089294
 risk of interval [20,24]: 0.6801667213439941
 risk of interval [25,29]: 0.2530844807624817
 risk of interval [30,34]: 0.671197235584259
 risk of interval [35,39]: 0.2530844807624817
 risk of interval [40,44]: 0.2530844807624817
 risk of interval [45,49]: 0.2530844807624817
 risk of interval [50,54]: 0.2530844807624817
 risk of interval [55,59]: 0.2530844807624817
 risk of interval [60,64]: 0.7806379199028015
 risk of interval [65,69]: 0.2530844807624817
 risk of interval [70,74]: 0.2530844807624817
13_017_A_snippet
 risk of interval [0,4]: 0.6837809085845947
 risk of interval [5,9]: 0.25843894481658936
 risk of interval [10,14]: 0.14904223382472992
 risk of interval [15,19]: 0.4289235472679138
 risk of interval [20,24]: 0.6666988134384155
 risk of interval [25,29]: 0.5636884570121765
 risk of interval [30,34]: 0.8254327178001404
 risk of interval [35,39]: 0.8309471011161804
 risk of interval [40,44]: 0.884524405002594
 risk of interval [45,49]: 0.9000246524810791
 risk of interval [50,54]: 0.6492239236831665
 risk of interval [55,59]: 0.6482885479927063
 risk of interval [60,64]: 0.6463198661804199
 risk of interval [65,69]: 0.6642681956291199
 risk of interval [70,74]: 0.7473515868186951
13_018_C_snippet
 risk of interval [0,4]: 0.04523111507296562
 risk of interval [5,9]: 0.26738110184669495
 risk of interval [10,14]: 0.4040607213973999
 risk of interval [15,19]: 0.01542104035615921
 risk of interval [20,24]: 0.6134940981864929
 risk of interval [25,29]: 0.9822712540626526
 risk of interval [30,34]: 0.8923913836479187
 risk of interval [35,39]: 0.5574420094490051
 risk of interval [40,44]: 0.4913555979728699
 risk of interval [45,49]: 0.3097037971019745
 risk of interval [50,54]: 0.08857935667037964
 risk of interval [55,59]: 0.05241904780268669
 risk of interval [60,64]: 0.026956850662827492
 risk of interval [65,69]: 0.036164045333862305
 risk of interval [70,74]: 0.027538277208805084
13_019_A_snippet
 risk of interval [0,4]: 0.36695894598960876
 risk of interval [5,9]: 0.9097474813461304
 risk of interval [10,14]: 0.915902316570282
 risk of interval [15,19]: 0.9746023416519165
 risk of interval [20,24]: 0.647007167339325
 risk of interval [25,29]: 0.9573441743850708
 risk of interval [30,34]: 0.9289343953132629
 risk of interval [35,39]: 0.9401336908340454
 risk of interval [40,44]: 0.928388774394989
 risk of interval [45,49]: 0.938103199005127
 risk of interval [50,54]: 0.9264650940895081
 risk of interval [55,59]: 0.9404121041297913
 risk of interval [60,64]: 0.9161515831947327
 risk of interval [65,69]: 0.9155747294425964
 risk of interval [70,74]: 0.9038243889808655
13_020_C_snippet
 risk of interval [0,4]: 0.17135508358478546
 risk of interval [5,9]: 0.9785253405570984
 risk of interval [10,14]: 0.9904748201370239
 risk of interval [15,19]: 0.9864294528961182
 risk of interval [20,24]: 0.899544894695282
 risk of interval [25,29]: 0.8845526576042175
 risk of interval [30,34]: 0.8658247590065002
 risk of interval [35,39]: 0.8602952361106873
 risk of interval [40,44]: 0.9075753688812256
 risk of interval [45,49]: 0.8873206377029419
 risk of interval [50,54]: 0.8611125349998474
 risk of interval [55,59]: 0.8867141604423523
 risk of interval [60,64]: 0.8681269884109497
 risk of interval [65,69]: 0.877561092376709
 risk of interval [70,74]: 0.8800035715103149
13_021_P_snippet
 risk of interval [0,4]: 0.5056778192520142
 risk of interval [5,9]: 0.632358968257904
 risk of interval [10,14]: 0.37299373745918274
 risk of interval [15,19]: 0.9548733830451965
 risk of interval [20,24]: 0.9624157547950745
 risk of interval [25,29]: 0.4288102388381958
 risk of interval [30,34]: 0.7075866460800171
 risk of interval [35,39]: 0.12374644726514816
 risk of interval [40,44]: 0.5758718252182007
 risk of interval [45,49]: 0.2423078715801239
 risk of interval [50,54]: 0.23306302726268768
 risk of interval [55,59]: 0.09628323465585709
 risk of interval [60,64]: 0.12898987531661987
 risk of interval [65,69]: 0.16583609580993652
 risk of interval [70,74]: 0.017398027703166008
13_022_C_snippet
 risk of interval [0,4]: 0.5998294353485107
 risk of interval [5,9]: 0.5741996765136719
 risk of interval [10,14]: 0.3429453372955322
 risk of interval [15,19]: 0.5586878657341003
 risk of interval [20,24]: 0.18647798895835876
 risk of interval [25,29]: 0.7045919895172119
 risk of interval [30,34]: 0.9294648766517639
 risk of interval [35,39]: 0.8089661002159119
 risk of interval [40,44]: 0.9043659567832947
 risk of interval [45,49]: 0.9522499442100525
 risk of interval [50,54]: 0.9835717082023621
 risk of interval [55,59]: 0.9853776693344116
 risk of interval [60,64]: 0.9900463223457336
 risk of interval [65,69]: 0.9888097643852234
 risk of interval [70,74]: 0.9916010499000549
13_023_C_snippet
 risk of interval [0,4]: 0.8886486887931824
 risk of interval [5,9]: 0.9415864944458008
 risk of interval [10,14]: 0.9855011105537415
 risk of interval [15,19]: 0.9883639812469482
 risk of interval [20,24]: 0.9882371425628662
 risk of interval [25,29]: 0.9884254932403564
 risk of interval [30,34]: 0.9912005066871643
 risk of interval [35,39]: 0.9897777438163757
 risk of interval [40,44]: 0.9889945983886719
 risk of interval [45,49]: 0.9911597967147827
 risk of interval [50,54]: 0.9919220805168152
 risk of interval [55,59]: 0.9886016249656677
 risk of interval [60,64]: 0.9915323257446289
 risk of interval [65,69]: 0.9908465147018433
 risk of interval [70,74]: 0.990828275680542
13_025_P_snippet
 risk of interval [0,4]: 0.04419069364666939
 risk of interval [5,9]: 0.408771812915802
 risk of interval [10,14]: 0.2703574597835541
 risk of interval [15,19]: 0.40049752593040466
 risk of interval [20,24]: 0.7841665148735046
 risk of interval [25,29]: 0.9477623701095581
 risk of interval [30,34]: 0.9883021712303162
 risk of interval [35,39]: 0.8665896654129028
 risk of interval [40,44]: 0.6272420287132263
 risk of interval [45,49]: 0.6103634834289551
 risk of interval [50,54]: 0.8295573592185974
 risk of interval [55,59]: 0.6112065315246582
 risk of interval [60,64]: 0.07324348390102386
 risk of interval [65,69]: 0.4072771370410919
 risk of interval [70,74]: 0.18626482784748077
13_026_P_snippet
 risk of interval [0,4]: 0.5770326852798462
 risk of interval [5,9]: 0.6193665266036987
 risk of interval [10,14]: 0.7594765424728394
 risk of interval [15,19]: 0.6780830025672913
 risk of interval [20,24]: 0.6084061861038208
 risk of interval [25,29]: 0.9497867226600647
 risk of interval [30,34]: 0.9858283400535583
 risk of interval [35,39]: 0.9676852822303772
 risk of interval [40,44]: 0.9023691415786743
 risk of interval [45,49]: 0.7072097063064575
 risk of interval [50,54]: 0.23469579219818115
 risk of interval [55,59]: 0.19378414750099182
 risk of interval [60,64]: 0.3297237455844879
 risk of interval [65,69]: 0.496594101190567
 risk of interval [70,74]: 0.5432398915290833
13_027_P_snippet
 risk of interval [0,4]: 0.1267223358154297
 risk of interval [5,9]: 0.1424127072095871
 risk of interval [10,14]: 0.6798975467681885
 risk of interval [15,19]: 0.560024082660675
 risk of interval [20,24]: 0.9789443016052246
 risk of interval [25,29]: 0.7091483473777771
 risk of interval [30,34]: 0.7733551859855652
 risk of interval [35,39]: 0.7302054762840271
 risk of interval [40,44]: 0.7415894865989685
 risk of interval [45,49]: 0.8341811299324036
 risk of interval [50,54]: 0.744072675704956
 risk of interval [55,59]: 0.8695510029792786
 risk of interval [60,64]: 0.5992709994316101
 risk of interval [65,69]: 0.7933157682418823
 risk of interval [70,74]: 0.5851211547851562
13_029_P_snippet
 risk of interval [0,4]: 0.01407313160598278
 risk of interval [5,9]: 0.021679531782865524
 risk of interval [10,14]: 0.07818135619163513
 risk of interval [15,19]: 0.35394927859306335
 risk of interval [20,24]: 0.9229072332382202
 risk of interval [25,29]: 0.9607106447219849
 risk of interval [30,34]: 0.9478835463523865
 risk of interval [35,39]: 0.9797946810722351
 risk of interval [40,44]: 0.9834098815917969
 risk of interval [45,49]: 0.9617568850517273
 risk of interval [50,54]: 0.9144114851951599
 risk of interval [55,59]: 0.8637344241142273
 risk of interval [60,64]: 0.8905889391899109
 risk of interval [65,69]: 0.8777597546577454
 risk of interval [70,74]: 0.9329153299331665
13_030_A_snippet
 risk of interval [0,4]: 0.020876748487353325
 risk of interval [5,9]: 0.013817692175507545
 risk of interval [10,14]: 0.02645539492368698
 risk of interval [15,19]: 0.03768622875213623
 risk of interval [20,24]: 0.05757883936166763
 risk of interval [25,29]: 0.8982430696487427
 risk of interval [30,34]: 0.8916832804679871
 risk of interval [35,39]: 0.9738519787788391
 risk of interval [40,44]: 0.990471601486206
 risk of interval [45,49]: 0.9748088121414185
 risk of interval [50,54]: 0.9902916550636292
 risk of interval [55,59]: 0.9870813488960266
 risk of interval [60,64]: 0.9849116206169128
 risk of interval [65,69]: 0.9831327199935913
 risk of interval [70,74]: 0.9823693633079529
13_031_A_snippet
 risk of interval [0,4]: 0.04375661537051201
 risk of interval [5,9]: 0.27717143297195435
 risk of interval [10,14]: 0.27625572681427
 risk of interval [15,19]: 0.39326074719429016
 risk of interval [20,24]: 0.529845654964447
 risk of interval [25,29]: 0.2530844807624817
 risk of interval [30,34]: 0.2530844807624817
 risk of interval [35,39]: 0.2530844807624817
 risk of interval [40,44]: 0.7100154757499695
 risk of interval [45,49]: 0.5608317852020264
 risk of interval [50,54]: 0.7206943035125732
 risk of interval [55,59]: 0.21658955514431
 risk of interval [60,64]: 0.6890970468521118
 risk of interval [65,69]: 0.6274564266204834
 risk of interval [70,74]: 0.3407980501651764
13_032_P_snippet
 risk of interval [0,4]: 0.6099792122840881
 risk of interval [5,9]: 0.35543686151504517
 risk of interval [10,14]: 0.21363872289657593
 risk of interval [15,19]: 0.7735509276390076
 risk of interval [20,24]: 0.977814257144928
 risk of interval [25,29]: 0.8864553570747375
 risk of interval [30,34]: 0.9752220511436462
 risk of interval [35,39]: 0.9862143397331238
 risk of interval [40,44]: 0.9899122714996338
 risk of interval [45,49]: 0.9900333285331726
 risk of interval [50,54]: 0.9908766746520996
 risk of interval [55,59]: 0.940281331539154
 risk of interval [60,64]: 0.7493133544921875
